Quote,Label
実はカードも通帳も持ってなくて、22歳にもなってお小遣い制で親からお金をもらってるんです,1
最悪の謀反人とは、国王や国家に危害を加える武器を取らず、医者が病人の血を取ることによって癒すように、国王や国家を改善す・・,1
独断家は甚だしばしば敗北主義者、知性の敗北主義者である。彼は外見に現はれるほど決して強くはない,1
スポーツこそが奇跡を起せるんだよ！,1
学校や社会で差別されたら、かわいそうに、と思え。差別する奴らは差別されてきたんだよ。悪口を言われた人間が悪口を言う。君は差別に差別を返したらいかん。......,1
（患者様とのコミュニケーションにおいて）一回で何かを解決しようという事はは頭の隅に置いて、一回ではなく何回か繰り返して聞いてみようというのが現実的かな,1
古く、慣れ親しんだ枕に頭を乗せるまで、旅がどれほど美しいものかは気づけない,1
何度も二回戦、ベスト8、ベスト4の壁にぶち当たりまして、自分の指導法に疑問を感じたり、人から話を聞いたり・・,1
自分の評価を落とすのも、人生の中で大事な時もある,1
きょうくりFanのために ぼくごじんてきにじゅんびしたPresentがあります！,1
試合する時は、やっぱり対戦国とか相手とかになってしまうんですけど、それが終わったらみんな仲良くやっています,1
今さら核を一発二発持ったところで世界は変わらないです,1
昔、すごく調子が良かった時に5時間で3話分できたことがあった,1
明日は大学入って初のチーム戦！たのしく元気よくいっぱいハイタッチできるようなチームになればいいかなと思います！,1
我が国は資源がありません。無駄に弾薬や燃料を消費するのは厳に戒めるべきです,1
地形や植生、たとえば途中で倒木の皮が剥がれているのを見て、これはシカが食べた跡だとか、教科書で見るよりも生々しく分かりますよね,1
例えばファッションを好きな人たちはコスチュームに着目して観るだろうし、僕もファッションの仕事をやるけれど、歌舞伎であれだけ色々なコスチュームを着けるから「歌舞伎の衣装が一番楽しいでしょ......,1
感謝の気持ちを口にするだけでなく行動にうつさなければそれは本当の意味で感謝していることには達しないと思う,1
教育の最高の成果は、寛容さである。,1
一生懸命にやっている自分がいると、他のことにも、輝きが増すというのかな。オーラじゃないけれど、多分人が発している光というのがあって、好きなことをやっている、......,1
地球を舞台とした事業活動を通じて、豊かな社会の創造と資源循環型社会の構築に貢献する,1
断じて投機的な事業を企つるなかれ,1
ショパンですとかベートーベンですとか、いま生きているわけではない人たちの作った曲を演奏するときは、イメージを楽譜から読み取るしかないですね。どんな気持ちで書いたのかなと、,1
時代の流れとか、環境のせいにして言い訳している人たちも結構多いと思うんです,1
情報に踊らされずに、なりたい自分は自分で考えてほしい,1
私もいわゆる同和地区というところで育ったが、同和問題は全く解決されていない,1
（自らのスタイルについて）変えないじゃなくて、変えられない,1
自分の運命を実現することは、人間の唯一の責任なのだ,1
持続的成長のエンジンは、もっといい車作りと人材育成に他ならないと考えております,1
死はいずれやってくる。それがいつかなんて、どうでもいいじゃないですか,1
（技術の囲い込みをせず研究成果を公にしてきたことについて）自分が思いついたことは、他の誰かも思いついているものなんです、ええ。これは経験則として、ほぼ間違いなくそうなんで。あんまり持っていてもしようがない、......,1
愛する人間が死ぬのを見るより、愛する人間が狂ってるのを見る方が辛いんじゃないかな,1
仕事で失敗して損をしても、相手からお金を取るな。相手に気を使わせる事で、良い情報を持ってきてくれたり、信用が上がる,1
結婚する男は七年も年老いたと思うであろう,1
己より賢明なる人物を身辺に集める術を修めし者ここに眠る,1
（抗がん剤の副作用で）例えて言うならば･･･船酔いをしている状態で高熱が42度あるような感じです,1
自分の利害のために他人の利害を顧みないような人は、人間ということはできない。,1
眠りにつく寸前にその日にあった楽しかったことや満足したことを思い出して寝ます。その際、心の中で「良かった。ありがとう」と満足と感謝の思いで寝ることで睡眠の質を高めます,1
『企画でも、自分ができることで、自分の商圏で新しいものが入ってきても絶対に破られないものをやる』ことが重要です,1
１５年近く愛用していたドライヤーがついに壊れた。まだテレビに出る前からの長い付き合い。中国人の横分けもヤンキーのリーゼントも全部こいつが頑張ってくれた。お疲れさま,1
（カイジが支持される理由は？）読者の支持は今に始まったわけじゃないんだけど、やっぱり“カイジ的に苦しんでいる若者たちが昔に比べると増えてきたっていうのもあるのかもしれない,1
仕事が来たら、まず全力投球で頑張れ。その仕事が自分に合うか合わないか、まず自分が会社に合わせてみて、その色に染まってみてから判断しなさい。半身に構えて仕事をする......,1
ビデオの再生くらいはできるさ。でも、録画は・・できないんだ,1
結果が出ないとき、どういう自分でいられるか。決してあきらめない姿勢が何かを生み出すきっかけをつくる。,1
経団連の会長になったら、僕は断固、日本の構造改革、規制緩和の実行に取り組む,1
成果の上げられない社員を管理職にとどめておくのは、本人のためにも他のやる気のある社員のためにもかわいそうです。,1
アニック選手はバックハンドのスライスがすごい上手な選手なんですが、アニック選手とも対等にクロスのスライスのラリーでもしっかり戦えていたと思います,1
頑張らないと頑張っている人に会えない。頑張っている人に会うとまた頑張ろうと思える,1
とにかく笑顔です。会った瞬間、お互いに感じるものがありますから。とくに笑顔で元気に握手をしてから会話に入るような場合は、笑いのある雰囲気の中で話ができます,1
あなたが誰であろうと、どんな社会的地位にいようと、地位が高かろうと低かろうと、常にものすごい力で、ものすごい渾身さで取り組むことを目標にし、また全てのことに強い愛を込め、......,1
（村上信五さんに対して）YOUとすばるじゃ違いすぎるんだよ｡すばると仲いいのにどうして歌下手なの？,1
幸せが何かって考え出したら、生きてくのが苦しくなるだけよ,1
その瞬間、人生で最もすばらしい体験を放棄しているかもしれない。,1
既婚者の男がね、まずいな、って顔をしている時の大半は奥さんが関係してるんだって,1
研修期間の二年間ずっと「ジャマナカ」です。「お前はほんまに邪魔や。ジャマナカや」といわれつづけました。（中略）しかし、ここで壁にぶつかったことが、研究者という新......,1
俺は応えなければ,1
目的のために歩く。例えば買物とか食事とか、歩くために歩くのではなく、この辺はアートの発想とちょっと反対ね,1
リング上での一瞬に命をかけてますし、コスチューム、演出、技も多彩,1
今年は２試合。多ければ３試合。誰が相手でも勝つことだけ考えてやりたい,1
正直、自分たちも驚いています。デビューして、まだ２年でアリーナツアーをやらせていただけて、ありがたい気持ちです,1
（食事にも気をつけていらっしゃるのですか？）そっちはだめなんです。食いしん坊だから,1
厳しい戦いが何回も続いた,1
いずこに指導原理ありや？　いかなる叡智(えいち)の光ありや？　美(うる)わしくも怖(おそろ)しきは浮世なれ　かよわき人・・,1
だめ。碇君が呼んでる,1
「このビジネスの目的は何か」といった理念が共有できていなければ、困難な状況を打ち破ることはできません,1
否定でアイデンティティを確立しようとするなよ,1
軽蔑すべき者を敵として選ぶな。汝の敵について誇りを感じなければならない,1
誰が前にいようが、誰が後ろにいようが、俺は前に行く。,1
僕は自分のキャリアにしっかりピリオドを打って、プロフェッショナルになりたかった。でも多分、僕がすでに言ったように、神が決めたんです、“ジェーニャ、......,1
時代がどう変わろうとも、人間の本質は変わらないのです。誰しも人間は人生で善きことを追求し、後世に何か価値あるものを残すことによって、「永続性」を達成したいのです,1
後悔の意味は？悔やむことがあるのは後ろだけ！前にはない！,1
自分の心の中から歌いたいこと、いま言いたくてたまらないこと、そういったことが作品にならなくてはダメだ,1
兄の卓球のコーチが中国の人で、わたしも３歳で卓球を始めたころに見てもらった,1
世の中のキラキラして生きなくちゃが負担になっている人って、多いんじゃないでしょうか,1
今でも国歌の練習、一人でしちゃったりしますからね。トイレで歌ってたりしますから,1
HateとLaveって実は同じ。心が現すもの。イコールあなたにはまだ心があるって事,1
上司の弱点を指摘するな,1
一つの眼差し、一度の握手、幾分、脈のありそうな返事などによってたちまち元気付くのが恋をしている男女なのだ,1
研究されていても、形勢が互角であれば問題ない,1
自分の中の本当に追いつけないぐらいの理想を持って、それに一歩でも近づけるように、自分の中で努力するという感じです,1
誰がカモか分からなければ、そのゲームでは、自分がカモ,1
日本で別作品の撮影中だったのですが、クリスからの連絡で3日間だけロスに戻り、そこで出演オファーを受けました,1
私は絶対に生徒を叱ることができない。なぜなら子どもたちはみんな「花の種」だと考えているからだ,1
市場の空白地帯を探り続ける。顧客から変わらぬ支持を得るには、その努力が不可欠なのです,1
紆余曲折のない人生などあり得ない。安定した生活など歴史上どこにもない,1
人間が自分で意味を与えないかぎり、人生には意味がない,1
Be daring.（勇気を持って）Be first.（誰よりも先に）Be different.（人と違ったことをする）,1
天才はなすべき事をなし、才人はなしうる事をなす。,1
世の中の風潮と違って、子供と一緒にいて楽しいことをしてあげようという考えはないんですよ。父親がどこかで本当に頑張っているのであれば子供には絶対に分かると思うんです,1
君がどれだけ気づかっているかを知るまでは、君がどれほど知っているかなどには誰も気にしないものである,1
「みんな言葉遊びが好きなのさ」 「なぜなら人間は、言い訳をしないと生きていけないからね」,1
ダンスで成功する夢は諦めずにいました,1
嵐ってね、怒られるとすごい落ち込むの,1
歴史とは犯罪と災難の記録にすぎない,1
技術的なものは高いグッドテクニカルなパフォーマーはいるんですけど、パーソナリティーがね・・・・。要するに人間性が強い子が少ないかなって思う,1
土を耕すのを忘れるということは、自分自身を忘れることだ。,1
1週間くらい武家屋敷で撮影しているうちに、血の量がたまっていったらおもしろいなと思い始めて。どんどん血を足していったら、プールみたいになった（笑）,1
勝負師の世界というイメージの強い将棋が、文化として認められたことが何よりもうれしい,1
描くということははき出す行為ですから、それだけでは、たちまちのうちにスッカラカンになってしまいます。かく一方で、摂取する、つまり、......,1
自分自身を灯りとしていけば、どんな時でも自分で心を照らすことができます,1
少し不思議な感じですが、今回の世界選手権が高校生活最後の大会になります。高校生で２度も世界選手権に出場できることに感謝したいですし、悔いのない演技がしたいですね,1
身体を動かすことなく日々を過ごすだけの状況では、いくら勉強の時間をつくっても、頭には入らないでしょう。集中できないまま、だらだらとテレビを見たりゲームをしたりということになってしまうのならば、一日に一時間は体を動かす時間を作ってください。......,1
あなたは会社を経営しているのであって、社交クラブを開いているのでも、カウンセリングサービスを行っているわけでもない,1
情熱を持って生きなさい。,1
デッサンと色彩とは区別することはできぬもので、彩色をほどこすにつれてデッサンがなり、色彩が調和していくにつれてデッサンは正確になる。色彩が豊富になる時、形も充実する,1
反論し論破するために読むな。信じて丸呑みするためにも読むな。話題や論題を見つけるためにも読むな。しかし、熟考し熟慮する・・,1
特別なレースという部分に関しては、ここで初めて何かを試すようなことがあってはいけないと思います,1
自分らしさを書き換えるには1.ぶっ飛んだ夢を持つ2.あこがれの群れに飛び込む3.すでにうまくいったふりをして生きる,1
事は他人を援助することによりて己自身を益(えき)す。,1
自分の努力は裏切らない,1
嫉妬でパートナーを動かそうとそれば、いずれ相手は去って行くだろう。大人なら理性的に話し合うべきだ,1
死んで朽ち果てることがないのならば、いつでも死ぬがよい。生きて大志を果たせるならば、いつでも生き続けるがよい,1
俺は今日生きたぞ,1
最近、時間がなくて全くサッカーできない,1
善良な夫は、決して夜早く寝ないし、朝は遅く目覚める。,1
自分でステージのプロデュースをやったりして、自分の言葉でスタッフが動くのを実感したから、それがストレスになっちゃったんですよね。まだまだ自分の心が定まっていないのに、私......,1
お前なんか辞めたって、仕事も地球もグルグル回るよ,1
連載はライブですね。生き物ですね,1
僕にとつてあなたは新奇の無尽蔵だ,1
要するに３通りしかないんだよね。ひとつはね、強いやつについていく。もうひとつは逃げる。三つ目は独りで闘う,1
経営が良ければ株価は自ずとそれを反映する,1
ともかく、恋愛はいい先生だ。運命が我々に与える困難など、恋愛が我々に味あわせる快楽には到底及びもつくまい。,1
私は同じ生きていくならば、人を大いに愛して、興奮しまくって、何か新しいものを作り狂って、そんな生き方がいいんじゃないかと思っています,1
地震は信に大変に候。野僧草庵は何事なく、親類中、死人もなく、めでたく存じ候。うちつけにしなばしなずてながらえて　かかるうきめを見るがわびしさ,1
企業に永遠はなく、いつ寿命が尽きるかわからない。だから仕事は健康なうちに次の世代に渡していくべきである,1
周りにも言われますけど、運はメチャクチャいいですよ。つい最近までは１００％ずっと脱ぎ続けてましたから。いまだと確実にアウトじゃないですか,1
守るのは、過去じゃない。欲しいのは、未来じゃない。生きている今に、想いを燃やし尽くす事、......,1
美しいものとともに生きてきた人だけが美しく死ぬことができる,1
ああ、全てはこれからだ,1
かけた情けは水に流せ。受けた恩は石に刻め,1
金持ちが神の国に入るよりも、ラクダが針の穴を通る方がまだ易しい。,1
（友や仲間とは何ですか？）一番かけがえのないものだし、自分と時間を共有してきたっていうこと,1
もし事実と理論が合っていないとしたら、捨てるのは理論の方ね,1
権力は肉体を奪えても自由は奪えない,1
肉体は心の召使いである。それ（＝肉体）は、繊細で柔軟な装置であり、くり返される思考に速やかに反応する。,1
私は物語に“救いがないというのが苦手なんです,1
（自身のことを）夜の外交官,1
ユーモアのない一日は、極めて寂しい一日である,1
家族っていうのが、一番人間にとってホッとするところ,1
病院に行って診てもらったら、「これ、折れたままつながってるね」って言われたんです,1
我々は誰も敵とはしないし、誰であっても我々の敵となることはお勧めしない,1
北西。この方位にお金があると、手持ちのお金にどんどん運気が宿ってくるはず,1
賃金は不満を減らすことはできても満足をふやすことはできない。満足をふやすことのできるのは仕事そのものだといわねばならぬ。どんな仕事であろうと、それが自発的主体的に行動できるよう......,1
従来の行きがかりに囚われすぎてはいけない,1
真の詩は、たとえそれがギリシア語で書かれていようと英語で書かれていようと、感じる心以外に何らの解釈者も必要としない。,1
人生の幸福とは何であるかを知ったら、お前は人の持っている物など羨ましがる必要はない,1
私は自然のサイクルを成熟するプロセスと信じているわ。時機は必ずやってくるものよ。晴れた日もあるけれど、太陽と個人的に会うことはできないのよ,1
（AIG全英女子オープン優勝後の自身のインスタ）しぶの、全英女子オープン勝ってしまいました。なんとゆうことでしょう。まだ実感がありません笑,1
善き戦争はなく、悪しき平和というものもない,1
負けたらくやしい,1
目が大きければいいってもんじゃない、人が死ねばいいってもんじゃない,1
僕たちがつくり出したのではない。社会がやがて受け入れていったのだ,1
学校へ行かない（＝不登校の）子どもがいても、周囲の大人が平気な顔でいられるような社会がよい。,1
すべて娯楽教養に類するものは、教養の不足に罪のあるのを忘れて、娯楽自体を禁止しようとする暴力的な弾圧を最もつつしむ必要がある,1
最終日を大差で迎え、難しい精神状態でのプレーだった,1
ＮＡＯＫＩの目力からもかなりの気合いと願いを感じます・・!!!!!!(笑),1
大将たる者は、家臣に慈悲の心をもって接することが、最も重要である,1
何が確実なことかといえば、自分がこの目で見、この手で触れて確かめること以外に何があるというのだ。それを一つ一つ積み重ねていけば、エベレスト登山もいつかは可能になる,1
世界の見え方自体が、あなたの頭のなかにある仮説によって決まっているわけなのです,1
今回（『銭の戦争』）は溜め込まないパターンで行こうと思ったので、疲れたときは「疲れたー！」と敢えて言ってデトックスしていました（笑）,1
ブラジルやイタリアと対戦するなら、ガチガチに守るんじゃなく、全力でぶつかって、日本が世界の中でどこにいるのか確かめるべきだ,1
朝に目覚めるときにはノルアドレナリンという物質が出ています。ノルアドレナリンは戦うための物質で、血糖値や心拍などを上げて、闘争できるように体を整えてくれます。これが出ているときは、やる気も高い。......,1
子供たちが僕のプレーを見てゴルフを始めてくれたらうれしいですね。自分はゴルフしかやってこなかったですけど、子供にはいろんなスポーツをまずやってほしい,1
人は自分があろうとする姿以外にはありえない。このことが実存主義の第一原則である,1
人間にとって真の最大の敵は、自分の胸の中に居る,1
何にも変わらないようにみえても自分自身はいつも新しくなっている,1
打って走って守って。全て、まだやれる,1
われを地上に送りたまいし者、常にわれとともにあり──父なる神はわれを見捨てたまわず。,1
僕のような、パっと見でわかりにくい、“見えない障害の当事者は、自分から周囲に理解を求めていく努力が必要なのだと思います,1
苦手なことはできないんだから、誰かに甘えるしかない。,1
計算なんてしてなくて、もう1キロ2キロで死ぬだけ行ってみようと思って,1
いかに押しつぶしても個人的人格は専制である,1
やっぱり悲しみもキチンと受け止めないと、人の心を代弁したり、感情移入するような歌なんて歌えませんからね,1
仕上げて得られる達成感が、次の創作への意欲に変わります。中途放棄は、やらないことと同じです,1
お客さんから見た目線と自分達がやりたいって思うことのバランスを常に大切にしています。舵ひとつ切り方間違えれば、潰れちゃうから難しいよね。プレッシャーはもちろんあるし、ギ......,1
豆柴から柴犬ぐらいには格上げしてやるよ,1
ああ！（自分の）家にいるほど居心地のいいものはない。,1
私は初めから音楽には境界線はないと信じています。それを我々のファンが証明してくれました。私は音楽を通してその境界を破壊したいと考えています,1
思考と目標が結びつかない限り、価値ある物事は達成されえない。,1
（「時遊人」になるための秘訣）ひとつは時間の使い方。1日24時間をいかに上手く使うか。それから一人で遊べる、というのも長く続けるためのコツですね。あとはやっぱり健康,1
自分の不幸を書き出してみる。自分の幸せを書き出してみる。そうすると、自分が繋がっているべき人間、縁を切る人間が分かる。人間関係の断捨離は、......,1
流れてさえおれば、水は必ず海に達する。それと同じように、努力さえしておれば、所思は必ず遂げられる,1
おまえの終わり方は、なんとなくフィニッシュだ！,1
僕はデビューのころから、自分が世界でいちばん幸せだと思ってた。給料が７万円だったときも幸せだった。給料だと思えば安いけど、小遣いだと思えば７万円はすごいじゃん,1
文章とは何よりも内容を『伝えること』が最優先なわけですがから、文章力を磨くことなんかよりも、まず相手の目をしっかり見て、話せるように練習するのが先決でしょう,1
たくさんある山を見て、登れない、どうしよう、と思っているんじゃなくて、まず一つの山に登って頂上まで行くところからすべて・・,1
全部“白紙にして、カメラの前に行かないとダメなんですね,1
「今」があることに感謝しています,1
不況だ不況だと言っても、昭和二年の不況からすればまだまだ経済に余力はありますし、終戦のときのことを思えば、いまの生活がどれだけ豊かになったかが分かるでしょう,1
私は、日本一の夜の街・銀座でホステスとして働いています,1
詩を作るより、田を作れ,1
石橋を叩けば渡れない。,1
人間は自分より美男子でない、頭の悪いのが可愛いということです,1
「多忙は怠惰の隠れ蓑である」と、何回でもじぶんに言おう,1
全ての能力が備わっていることを一人に求めてはいけない。小さな間違いを理由に人を捨てていては、素晴らしい才能を持った人を得ることはできない,1
どんな日常でも夢を見ることはできるし、自分を信じることもできるはず,1
（毎日のルーティン）まず（エゴサーチで）炎上していないかを先に確認する,1
私たちの疲労は仕事によって生じたのではなく、悩み、挫折、後悔が原因となっていることが多い,1
行くぞ！次はウインターカップだ。全員ぶっ倒して日本一までかけ上がるぞ,1
今の世の中、弱者が正義になりすぎていると思う。負けた人にも、必ずその理由や非が多少なりともあるのではないでしょうか。でも、それを直視せずに、......,1
（長者番付にランクインした際）お金の事とかあまりピンと来ない,1
言葉に対する感覚を研ぎ澄まし、表現力を高めることは十分に可能です。私が勧める方法は、詩を読むことです。詩は優れた言葉の宝庫といえます。,1
今年は新日本のエースから日本のエースになって、僕がプロレス界を変えたいですね,1
春が鉛筆で夏は消しゴムで冬はコンパスだとしたら秋は何にしようかな,1
試合の為に色んなやりたい事、好きな事、全部抑えていく。食べたい物も全て。その中で試合。本当にピリピリして、......,1
段階を踏んで自分のキャラクターというか、自分の主張を伝えるっていうのはお洒落な感じがします,1
真のエキスパートは、井の中の蛙であってはならない,1
自分がいかに頑張っておいしいものを作ったとしても、お客さんがそれを求めなければ売れない,1
クソつまんねえアナタとだって会話します、クソつまんねえけど,1
どの政治あるいは社会グループ、勢力、重要人物が、ある特定の提案や処置などを支持するかどうか、そのことが明確でなかったら、『それは誰の役に立つのか』を常に問わなけ......,1
「お茶くれ」に１２０円くれた妻,1
日本人の主体は、規範じゃなくて、心なんです。千変万化する個人の心,1
あのねぇどんなに上手なべんかいをしてもねべんかいはやっぱりべんかいなんだよなぁ,1
中三と言ったら、時と場合とけじめをしっかりと身につけて行く時なんだ。,1
信じる者の為に立ち上がろう。立ち上がったことに自信を持とう,1
（高橋由伸監督擁立について）一体何を考えているのか。球団が普段からコーチや監督を育てる努力をしていないから慌てることになるのです。巨人のやることは他の11球団が真似をする。巨人の監督というのは球界全体に影響力を持つから、務める人物は一番の器が求められる。それだけ重要な人事をこんな軽率に決めるなど、......,1
とにかく身体をある場所に置くことで哲学をはじめる,1
子供達を見るとき、そこに神様の顔がみえる。だから僕は子供達が大好きなんだ。それこそが僕が見てるものなんだ,1
人は何のために生きているかをいつも考えておかなければいけません。この問題が解決されていれば、その人は死についてあまり考えなくなります,1
練習をやってきたという自信で泳いでいる,1
止まりさえしなければ、どんなにゆっくりでも進めばよい。,1
どんなときでもできるだけ観客には状況を知らせるべきだということだ。サプライズをひねって用いている場合、つまり思いがけない結末が話の頂点になっている場合をのぞけば、観客にはなるべ......,1
私も大丈夫じゃないし、あなたも大丈夫じゃない。だから、大丈夫だ。,1
能力とは自力の高さと幅だと言える。自信を一つ一つ積み上げることが能力を獲得する過程である。だからそれぞれの型の中で執念を持ってそれを押し詰めることが肝心なのだ,1
距離って本当に二人を離れ離れにするのかな？もし愛する人と一緒にいたいって思ったとしたら、もうその時点で二人の間に距離なんてないよね？,1
情報を整理するということは、言葉にすること。自分が取り出しやすくするために言語化する,1
因襲にぜんぜん屈服しない男女から成り立つ社会のほうが、みんなが画一的になるような社会よりも面白い社会であろう,1
仕事が楽しみなら人生は極楽だ。仕事が義務なら人生は地獄だ。,1
大学に通うのは大変なこと。でも毎日私は出会うの。教育のおかげで生活が激変した人達にね。私の生活もそう、教育のおかげで変わった,1
男が一度・・!!! 必ず帰ると言ったのだから,1
結婚は早すぎてもいけない、おそすぎてもいけない、無理が一番いけない、自然がいい。,1
犬はよく吠ゆるを以って良とせず、人はよく話すを以って賢とせず,1
「こうあるべきではないか」と手探りで進むうちに、それが結果につながったので、なでしこジャパンについてもチーム作りのイメージはできつつありました,1
利益は大切ですが、いかに世の中のためになるかが企業にとって一番大切だと思います,1
母はいつも私にこう言いました、「顔を隠しなさい。みんなが見てるから」私はこう言い返します、「関係ないわ。私だってみんなを見ているから」,1
どこまで歩いて来たのかどこまで歩いて行くのかどこまで歩いて行きたいのかその景色を誰と見たいのか,1
僕は、一つの問題とか一つの地域を専門的に追い続けるカメラマンというよりは、自分の興味のあることにパクっと食い付くフットワークの良いカメラマンでいたいと思います,1
一見、無駄のように思える研究、バカバカしいようなアイデアが創造の命だ。この『無駄＝不合理』を解さない人間はほしくない,1
人生の全てを失わないようにするために自分の生命の一部を分け与えることは、おかしなことではない,1
あんまり「お金」「お金」と言わないほうがいいよ。お金持ちで「お金」「お金」と言っている人はいないもんな。たいがい仕事が好きで、働いていたら、貯まっちゃったというのが現実......,1
自殺は人の特権よ。それが罪だとか、犯罪だとかとは思わないわ。やるかどうかはあなたの権利なの。ただ、やったところでどうにもならないけど,1
北京五輪で銀メダルを獲得したことで、本当に人生が変わって。試合が思う様に行かないこともありましたが、メダリストの地位を失う怖さが自分の成長を止めていると思ったので、フェ......,1
あなたが大切にしなくてはいけない人が、もう一人いるんだよ。それは、あなた自身です。自分を大切にできない人は、人も大切にできないものなの。......,1
